order_id,customer_id,customer_loyalty_tier,customer_acquisition_channel,customer_signup_date,restaurant_id,restaurant_cuisine,restaurant_city,restaurant_rating,restaurant_avg_prep_time,menu_item_id,menu_item_name,menu_item_category,item_price,quantity,order_timestamp,delivery_timestamp,delivery_duration_actual,delivery_duration_estimated,delivery_fee,tip,total_amount,discount_code,discount_type,discount_value,order_status,weather_temperature,weather_precipitation,is_weekend,is_holiday,event_flag
4002,925,Gold,social_media,22-07-2024,124,American,Los Angeles,3.6,23,669,Threat Sushi,Sushi,24.86,1,01-01-2023 00:10,01-01-2023 01:09,59,48,3.48,2.05,25.42,PROMO-BFUZ,percentage,4.97,completed,2.9,25.6,TRUE,TRUE,
4879,3163,Bronze,referral,17-03-2023,43,Chinese,Houston,4.8,32,231,Sound Dessert,Dessert,15.25,1,01-01-2023 00:29,01-01-2023 01:26,57,54,5.24,2.21,22.7,,,0,completed,4,0.4,TRUE,TRUE,
1124,4154,Bronze,referral,14-01-2023,188,American,San Antonio,3.4,11,1039,Whatever Main Course,Main Course,18.5,1,01-01-2023 04:06,01-01-2023 04:47,41,29,5.95,3.29,27.74,,,0,completed,4.4,0,TRUE,TRUE,
6764,4530,Bronze,email,26-02-2024,91,Mediterranean,New York,3.1,17,487,Black Main Course,Main Course,24.51,1,01-01-2023 05:05,01-01-2023 05:55,50,42,7.27,0.07,31.85,,,0,completed,9.9,0,TRUE,TRUE,
9073,2570,Bronze,paid_ads,25-08-2024,84,Mediterranean,San Antonio,3.2,28,442,Physical Pasta,Pasta,23.5,1,01-01-2023 08:46,01-01-2023 09:55,69,52,4.06,0.9,28.46,,,0,completed,7,16.1,TRUE,TRUE,
7005,2816,Bronze,email,28-05-2023,161,American,Houston,3.8,15,878,Sell Beverage,Beverage,24.09,2,01-01-2023 10:33,01-01-2023 11:10,37,35,4.95,10.87,64,,,0,completed,2.3,1.5,TRUE,TRUE,
9422,6973,Bronze,paid_ads,24-06-2024,53,Fast Food,Houston,4.7,15,274,Turn Burger,Burger,30.25,4,01-01-2023 11:04,01-01-2023 11:48,44,27,3.1,14.97,139.07,,,0,completed,6.8,0.5,TRUE,TRUE,
7068,4579,Gold,paid_ads,29-11-2023,116,Indian,San Diego,4.4,12,618,Ago Sushi,Sushi,29.7,1,01-01-2023 15:48,01-01-2023 16:31,43,32,3.84,3.65,37.19,,,0,completed,1.2,0,TRUE,TRUE,
9274,4463,Silver,referral,26-07-2024,187,Chinese,Chicago,3.6,10,1027,Building Burger,Burger,34.3,1,01-01-2023 17:51,01-01-2023 18:32,41,32,2.56,7.21,38.93,PROMO-XWIT,percentage,5.14,completed,1.6,0,TRUE,TRUE,
1942,889,Silver,paid_ads,29-12-2023,64,Italian,New York,4,15,326,Worry Pizza,Pizza,15.09,1,01-01-2023 18:16,01-01-2023 18:43,27,25,3.18,0.49,18.76,,,0,completed,2.9,0,TRUE,TRUE,
6495,5949,Bronze,email,24-08-2023,49,Japanese,New York,4.9,18,253,Unit Beverage,Beverage,29.89,1,01-01-2023 19:07,01-01-2023 20:02,55,45,4.07,5.33,39.29,,,0,completed,4.8,0,TRUE,TRUE,
3792,3479,Silver,email,25-05-2024,195,American,Chicago,3.7,15,1079,Lead Beverage,Beverage,6.37,2,01-01-2023 20:07,01-01-2023 20:54,47,38,4.54,1.61,18.89,,,0,completed,7.2,0,TRUE,TRUE,
3744,3590,Bronze,referral,29-05-2023,162,Italian,New York,4.3,27,886,Be Pizza,Pizza,22.57,1,02-01-2023 00:41,02-01-2023 01:52,71,54,6.23,4.18,26.75,PROMO-GCOK,free_delivery,6.23,completed,6.4,3.5,FALSE,FALSE,
4851,1724,Silver,referral,24-12-2024,85,American,Los Angeles,4.2,16,448,Call Main Course,Main Course,24.55,1,02-01-2023 00:46,02-01-2023 01:20,34,38,4.74,4.17,33.46,,,0,completed,6.8,0,FALSE,FALSE,
